ProductID,ProductCategory,QuantitySold,RevenueGenerated
110,Furniture,16,1294.36
111,Sports,38,2638.68
112,Toys,60,1229.2
113,Electronics,19,521.55
114,Furniture,20,942.34
115,Electronics,83,1036.6
116,Books,84,3101.49
117,Toys,22,2052.84
118,Furniture,45,3645.23
119,Clothing,13,878.24
120,Books,1,24.86
121,Toys,62,1716.57
122,Toys,70,2098.69
123,Sports,95,8271.8
124,Books,81,5462.64
125,Furniture,39,3594.66
126,Toys,21,1035.53
127,Books,15,1475.63
128,Furniture,70,4810.88
129,Books,46,3756.85
130,Furniture,55,839.59
131,Electronics,83,5051.86
132,Clothing,57,5504.63
133,Books,71,5899.12
134,Books,11,818.93
135,Furniture,48,4721.45
136,Sports,69,3127.69
137,Sports,28,1614.14
138,Toys,79,4130.89
139,Electronics,60,5816.54
140,Toys,55,3864.16
141,Electronics,5,412.17
142,Clothing,86,3119.77
143,Clothing,21,1394.04
144,Clothing,77,1143.22
145,Books,51,3580.08
146,Furniture,4,312.33
147,Toys,7,672.06
148,Clothing,69,4776.69
149,Clothing,79,3075.45
150,Toys,3,122.43
151,Electronics,35,2357.23
152,Electronics,2,100.28
153,Toys,83,2266.98
154,Toys,77,6125.25
155,Furniture,77,1360.29
156,Furniture,60,5842.88
157,Sports,78,3907.59
158,Toys,76,4600.81
159,Electronics,43,3297.77
160,Books,34,2225.75
161,Furniture,85,7499.92
162,Electronics,44,2250.13
163,Sports,16,989.92
164,Toys,56,3397.26
165,Toys,22,1764.07
166,Furniture,94,3888.32
167,Books,36,1592.26
168,Clothing,5,237.24
169,Toys,71,7041.59
170,Clothing,60,2136.35
171,Toys,1,37.53
172,Sports,87,4481.52
173,Clothing,2,69.58
174,Toys,88,8576.27
175,Books,28,405.86
176,Furniture,51,2656.73
177,Electronics,37,2754.99
178,Toys,99,9320.74
179,Toys,49,1143.93
180,Toys,15,1146.42
181,Toys,22,309.96
182,Books,89,5241.49
183,Books,99,8281.93
184,Books,83,2234.68
185,Sports,28,2281.69
186,Books,15,739.36
187,Sports,60,2160.21
188,Toys,49,1342.44
189,Electronics,76,4827.7
190,Electronics,48,3112.61
191,Electronics,3,278.23
192,Electronics,55,3423.7
193,Electronics,72,2892.78
194,Furniture,69,1398.83
195,Toys,3,294.26
196,Books,42,4015.69
197,Electronics,36,544.98
198,Books,72,2704.69
199,Electronics,27,2486.69
200,Furniture,22,1175.76
201,Sports,34,2063.55
202,Sports,30,500.83
203,Books,77,6549.48
204,Sports,4,71.51
205,Sports,14,894.09
206,Furniture,93,6331.65
207,Books,13,838.46
208,Toys,38,1359.28
209,Sports,69,2613.83
210,Toys,49,537.22
211,Furniture,47,2723.33
212,Electronics,52,2277.74
213,Toys,22,1884.9
214,Furniture,81,3096.93
215,Clothing,78,4611.63
216,Toys,43,3186.98
217,Toys,74,5844.8
218,Books,67,6532.89
219,Books,17,1372.14
220,Books,63,5169.11
221,Electronics,19,625.43
222,Books,33,2309.57
223,Books,1,61.16
224,Books,41,4004.8
225,Clothing,75,5051.3
226,Toys,28,1717.35
227,Books,39,656.17
228,Books,80,5232.14
229,Electronics,86,7477.18
230,Clothing,40,713.06
231,Sports,5,435.91
232,Books,39,826.78
233,Sports,15,884.11
234,Furniture,54,2055.89
235,Clothing,71,4337.55
236,Sports,49,3537.66
237,Furniture,5,470.11
238,Sports,71,5291.46
239,Electronics,21,1121.57
240,Books,47,2715.0
241,Toys,77,6442.69
242,Books,2,66.69
243,Electronics,30,1718.16
244,Toys,40,3304.52
245,Toys,53,1328.19
246,Books,44,1526.78
247,Toys,75,4276.66
248,Clothing,10,721.78
249,Sports,87,6662.12
250,Furniture,94,5766.28
251,Electronics,16,940.72
252,Clothing,90,3711.45
253,Sports,96,5419.54
254,Sports,69,5226.79
255,Books,63,1382.17
256,Electronics,20,1688.44
257,Books,41,3738.36
258,Books,61,1621.38
259,Electronics,50,2912.18
260,Sports,64,1111.0
261,Toys,29,2716.22
262,Sports,16,1296.49
263,Books,36,1689.01
264,Toys,87,7837.19
265,Books,10,186.22
266,Books,69,2599.83
267,Sports,27,2564.26
268,Furniture,65,3348.09
269,Sports,46,3809.14
270,Books,32,1507.86
271,Electronics,74,1708.92
272,Books,8,338.35
273,Furniture,80,4482.34
274,Books,33,1689.62
275,Furniture,9,521.57
276,Furniture,69,6763.2
277,Electronics,21,953.54
278,Books,4,367.29
279,Sports,42,3417.18
280,Sports,27,2589.53
281,Sports,7,346.91
282,Electronics,69,3237.35
283,Electronics,38,1709.04
284,Furniture,58,3422.03
285,Clothing,36,1954.59
286,Sports,2,122.28
287,Toys,10,862.53
288,Electronics,34,1974.53
289,Books,40,2082.79
290,Toys,99,9086.01
291,Furniture,6,424.56
292,Clothing,48,1371.44
293,Electronics,12,542.45
294,Clothing,11,331.7
295,Toys,70,5211.7
296,Sports,10,137.16
297,Toys,53,1443.31
298,Furniture,42,575.18
299,Books,100,5795.16
300,Books,9,757.65
301,Clothing,18,677.52
302,Toys,84,3253.68
303,Sports,76,2766.01
304,Sports,61,2334.68
305,Books,18,518.87
306,Sports,86,2877.67
307,Electronics,7,315.77
308,Clothing,49,2775.07
309,Sports,16,916.89
310,Furniture,83,1087.02
311,Books,75,5115.75
312,Furniture,51,3928.53
313,Sports,55,2163.76
314,Clothing,39,849.12
315,Toys,59,5618.61
316,Toys,38,617.99
317,Toys,83,6505.17
318,Sports,66,4338.55
319,Toys,74,3562.89
320,Books,38,679.3
321,Toys,49,4432.82
322,Electronics,66,2722.89
323,Furniture,65,1600.76
324,Electronics,97,9699.03
325,Electronics,17,1576.72
326,Electronics,86,5110.58
327,Furniture,24,1538.07
328,Clothing,49,2519.9
329,Sports,14,794.15
330,Electronics,26,2501.52
331,Furniture,50,4901.4
332,Toys,66,4474.38
333,Toys,97,9136.37
334,Electronics,93,7121.73
335,Sports,39,1831.49
336,Clothing,74,745.75
337,Electronics,78,2002.97
338,Toys,79,5771.42
339,Books,12,973.73
340,Clothing,60,2578.5
341,Sports,23,747.14
342,Sports,29,1854.63
343,Sports,12,716.51
344,Sports,51,5095.88
345,Clothing,51,1846.96
346,Furniture,44,761.09
347,Clothing,33,846.89
348,Clothing,9,293.92
349,Books,88,7271.27
350,Furniture,86,6817.77
351,Toys,4,278.47
352,Books,8,214.73
353,Sports,24,1924.98
354,Furniture,82,7714.9
355,Toys,86,5248.45
356,Furniture,57,1543.8
357,Furniture,84,3081.46
358,Clothing,50,2622.93
359,Clothing,98,3341.73
360,Furniture,60,5417.04
361,Clothing,46,2490.74
362,Clothing,22,776.51
363,Electronics,96,7546.91
364,Sports,18,532.31
365,Sports,8,199.82
366,Toys,69,2229.55
367,Furniture,3,59.86
368,Clothing,21,1661.06
369,Toys,88,1626.79
370,Sports,69,6872.62
371,Clothing,23,1853.07
372,Books,27,1902.75
373,Furniture,21,568.03
374,Furniture,100,5050.22
375,Furniture,100,3411.12
376,Toys,94,9160.01
377,Toys,8,682.46
378,Electronics,7,171.69
379,Clothing,88,4864.53
380,Sports,53,2845.96
381,Sports,65,5363.46
382,Electronics,47,3513.79
383,Electronics,76,3119.78
384,Clothing,37,1614.23
385,Toys,8,372.04
386,Furniture,76,7250.01
387,Sports,28,2668.16
388,Sports,29,2454.57
389,Furniture,97,6356.85
390,Electronics,37,532.81
391,Sports,6,189.74
392,Toys,2,74.69
393,Toys,27,1385.4
394,Electronics,47,2154.56
395,Sports,14,836.6
396,Electronics,16,1462.31
397,Toys,93,2955.13
398,Toys,96,5186.08
399,Sports,100,9072.19
400,Furniture,27,1936.3
401,Clothing,80,7266.93
402,Electronics,47,4394.94
403,Clothing,76,6500.51
404,Electronics,8,185.73
405,Books,51,4801.75
406,Sports,23,929.11
407,Furniture,72,4318.2
408,Furniture,2,91.16
409,Sports,70,5188.08
410,Clothing,66,5134.76
411,Toys,85,4829.28
412,Clothing,60,4157.36
413,Books,6,224.09
414,Electronics,10,111.12
415,Toys,32,472.94
416,Sports,59,2313.89
417,Electronics,13,511.9
418,Electronics,96,5183.29
419,Books,6,219.35
420,Books,34,1805.47
421,Books,89,8176.97
422,Toys,60,2170.77
423,Toys,76,7196.58
424,Furniture,98,6844.6
425,Electronics,97,7027.81
426,Clothing,3,135.04
427,Sports,66,1252.5
428,Sports,2,122.42
429,Sports,89,5847.85
430,Clothing,31,2170.56
431,Books,34,1270.4
432,Electronics,46,955.35
433,Books,15,213.26
434,Books,62,3580.12
435,Sports,57,4626.45
436,Books,4,66.62
437,Clothing,51,2702.78
438,Books,97,5432.78
439,Sports,97,3391.83
440,Sports,12,890.1
441,Toys,77,3148.58
442,Electronics,64,2230.3
443,Clothing,76,7251.33
444,Books,18,806.52
445,Toys,66,3568.04
446,Furniture,46,2960.6
447,Electronics,16,348.49
448,Clothing,62,6121.15
449,Furniture,45,1241.56
450,Sports,70,5938.31
451,Clothing,26,545.02
452,Sports,58,4713.8
453,Electronics,4,152.78
454,Clothing,98,1372.52
455,Sports,85,5654.81
456,Electronics,20,712.33
457,Furniture,66,6467.42
458,Furniture,97,2198.16
459,Sports,24,950.18
460,Electronics,22,1718.69
461,Electronics,38,2523.26
462,Books,8,311.7
463,Clothing,43,3659.03
464,Sports,99,1646.0
465,Books,11,723.85
466,Clothing,34,1898.27
467,Electronics,47,1550.35
468,Books,91,5670.99
469,Sports,57,1935.63
470,Toys,71,3528.7
471,Toys,87,7376.27
472,Books,50,4201.87
473,Sports,37,923.63
474,Clothing,35,2785.76
475,Furniture,82,2290.4
476,Furniture,13,665.38
477,Clothing,63,2725.89
478,Electronics,89,7443.45
479,Books,34,1968.67
480,Clothing,8,690.31
481,Toys,51,852.42
482,Books,74,5224.12
483,Books,39,3079.38
484,Sports,33,956.01
485,Sports,43,2699.86
486,Clothing,79,2295.9
487,Clothing,99,3588.03
488,Furniture,88,7182.99
489,Electronics,61,1213.95
490,Books,33,1991.16
491,Toys,66,6442.03
492,Sports,44,3039.22
493,Books,6,340.31
494,Electronics,64,2356.42
495,Electronics,87,7711.36
496,Clothing,35,2326.75
497,Books,86,1858.39
498,Toys,31,1694.63
499,Electronics,97,9487.88
500,Clothing,27,1668.82
501,Books,30,2815.83
502,Clothing,62,5764.02
503,Books,70,4249.43
504,Furniture,51,1268.47
505,Books,78,1613.88
506,Toys,88,4835.42
507,Toys,74,6687.67
508,Furniture,12,1068.16
509,Electronics,93,1191.06
510,Electronics,12,800.98
511,Sports,70,3009.38
512,Sports,71,1801.39
513,Electronics,68,3199.52
514,Furniture,4,51.39
515,Sports,15,609.37
516,Electronics,19,1824.87
517,Toys,92,8425.37
518,Electronics,76,7473.85
519,Books,10,943.59
520,Clothing,80,6568.48
521,Electronics,14,756.56
522,Books,87,1640.57
523,Electronics,27,2433.3
524,Sports,5,296.46
525,Clothing,37,488.76
526,Books,42,698.74
527,Toys,33,2681.46
528,Books,35,677.7
529,Toys,81,6092.06
530,Furniture,53,2322.75
531,Toys,14,1230.34
532,Sports,53,4958.93
533,Toys,16,1371.11
534,Toys,73,5865.19
535,Toys,28,1595.12
536,Clothing,37,1495.78
537,Toys,27,1198.31
538,Books,42,1516.39
539,Books,36,2039.0
540,Clothing,24,522.93
541,Books,81,5251.93
542,Clothing,92,8124.54
543,Electronics,42,4006.23
544,Furniture,98,8482.23
545,Sports,48,721.66
546,Books,74,4063.98
547,Toys,32,3057.08
548,Electronics,32,1903.41
549,Sports,40,3436.29
550,Electronics,35,2300.23
551,Clothing,1,39.15
552,Clothing,81,2718.78
553,Clothing,79,854.74
554,Toys,31,723.72
555,Toys,70,4043.71
556,Books,93,3609.22
557,Furniture,48,540.02
558,Toys,65,1643.83
559,Furniture,97,3259.44
560,Toys,31,1022.41
561,Toys,61,4472.91
562,Sports,85,1780.37
563,Sports,41,3339.86
564,Furniture,30,1857.38
565,Books,21,1918.02
566,Sports,9,650.97
567,Books,18,502.03
568,Electronics,32,1018.18
569,Furniture,96,5998.3
570,Sports,82,6188.33
571,Books,65,2351.32
572,Electronics,69,5919.81
573,Furniture,31,2306.02
574,Books,88,7551.13
575,Clothing,93,6027.79
576,Clothing,84,2012.09
577,Books,33,2096.39
578,Electronics,52,1958.8
579,Electronics,10,927.0
580,Sports,68,6016.23
581,Clothing,64,2963.68
582,Toys,10,319.57
583,Clothing,17,1323.19
584,Furniture,43,2898.71
585,Sports,56,3629.17
586,Books,15,844.22
587,Clothing,68,4416.55
588,Electronics,69,3907.53
589,Books,55,4344.45
590,Toys,17,485.09
591,Sports,49,1364.59
592,Sports,94,8938.03
593,Clothing,52,3725.41
594,Electronics,91,6425.49
595,Clothing,45,1768.66
596,Clothing,32,1086.8
597,Furniture,47,3716.01
598,Clothing,95,3764.68
599,Furniture,30,2589.53
600,Books,14,908.59
601,Books,80,7913.73
602,Books,38,536.05
603,Toys,19,1736.81
604,Toys,60,2105.1
605,Clothing,85,4883.07
606,Books,13,1072.18
607,Furniture,11,255.7
608,Furniture,54,4618.2
609,Clothing,95,5549.98
610,Clothing,42,2567.02
611,Electronics,75,4888.58
612,Electronics,36,2953.13
613,Sports,2,81.08
614,Electronics,86,3918.81
615,Furniture,95,2596.51
616,Sports,29,976.01
617,Electronics,86,4885.64
618,Clothing,15,893.9
619,Furniture,17,634.59
620,Clothing,64,6346.92
621,Electronics,99,7078.0
622,Clothing,10,102.86
623,Electronics,93,5419.22
624,Clothing,96,4786.77
625,Furniture,100,6333.66
626,Electronics,91,3157.24
627,Toys,68,2767.8
628,Books,82,6236.71
629,Electronics,59,903.72
630,Toys,88,4095.13
631,Books,11,393.95
632,Toys,56,1066.79
633,Sports,5,487.43
634,Electronics,18,1419.12
635,Electronics,65,5654.52
636,Books,31,2270.09
637,Sports,46,831.92
638,Clothing,42,2768.3
639,Toys,98,6668.38
640,Furniture,60,1578.14
641,Clothing,17,650.7
642,Clothing,2,26.21
643,Clothing,58,4687.41
644,Clothing,89,1521.91
645,Electronics,11,594.63
646,Books,1,38.78
647,Sports,50,4161.64
648,Books,95,8847.14
649,Electronics,68,2281.2
650,Toys,78,5113.85
651,Clothing,39,1439.07
652,Sports,4,263.09
653,Electronics,89,7546.35
654,Clothing,60,3025.57
655,Books,55,3850.04
656,Furniture,8,768.35
657,Electronics,16,1168.69
658,Sports,99,3893.87
659,Clothing,87,1079.09
660,Toys,78,3554.24
661,Electronics,57,2306.12
662,Books,8,287.8
663,Sports,5,79.83
664,Clothing,57,5405.38
665,Furniture,85,6184.01
666,Sports,66,3697.36
667,Electronics,94,7595.7
668,Toys,43,1067.2
669,Books,98,7774.37
670,Toys,84,3856.17
671,Furniture,86,2251.35
672,Books,91,2293.42
673,Electronics,58,2597.0
674,Electronics,98,7805.4
675,Sports,53,3348.66
676,Toys,21,312.58
677,Furniture,86,7589.33
678,Electronics,3,83.0
679,Clothing,10,522.55
680,Electronics,83,6912.49
681,Books,52,2597.73
682,Electronics,42,2683.6
683,Books,42,4166.84
684,Clothing,66,714.9
685,Furniture,100,9897.02
686,Furniture,81,4635.58
687,Clothing,10,776.19
688,Furniture,31,497.59
689,Furniture,14,831.81
690,Furniture,47,4200.71
691,Toys,93,5561.26
692,Clothing,87,4307.04
693,Books,46,835.71
694,Electronics,55,5184.14
695,Toys,37,2180.07
696,Furniture,28,2430.11
697,Books,11,194.95
698,Sports,44,2703.13
699,Toys,99,3639.0
700,Furniture,88,7849.39
701,Furniture,46,895.79
702,Toys,38,2730.43
703,Books,28,2643.76
704,Clothing,45,3420.75
705,Toys,17,980.21
706,Sports,93,4729.48
707,Furniture,95,1884.6
708,Electronics,32,1678.79
709,Furniture,66,3416.2
710,Sports,62,5805.98
711,Furniture,66,5818.07
712,Clothing,2,96.45
713,Electronics,79,2411.87
714,Toys,27,1951.44
715,Toys,13,923.09
716,Books,22,1044.5
717,Clothing,80,4645.4
718,Furniture,91,6158.01
719,Sports,99,8290.58
720,Furniture,11,849.74
721,Toys,52,1571.9
722,Furniture,16,421.91
723,Books,32,2518.68
724,Sports,30,1677.48
725,Toys,39,2749.72
726,Electronics,69,5780.22
727,Sports,76,6186.98
728,Furniture,30,1370.42
729,Sports,74,1285.29
730,Furniture,38,2660.13
731,Electronics,97,1976.94
732,Electronics,75,2967.81
733,Clothing,13,668.07
734,Books,38,3098.32
735,Furniture,8,498.84
736,Clothing,78,1120.26
737,Sports,76,2467.66
738,Books,83,6579.95
739,Electronics,50,3393.53
740,Books,72,3656.97
741,Sports,34,493.41
742,Electronics,25,843.89
743,Furniture,45,1139.06
744,Furniture,75,2625.01
745,Electronics,33,1718.15
746,Toys,35,1679.39
747,Sports,40,3046.32
748,Books,56,3043.24
749,Clothing,37,1998.9
750,Electronics,42,1733.1
751,Clothing,58,4413.0
752,Furniture,5,131.63
753,Toys,71,6142.89
754,Electronics,7,184.31
755,Clothing,91,3823.57
756,Sports,79,5338.98
757,Books,47,908.19
758,Furniture,66,3958.18
759,Toys,2,87.51
760,Clothing,5,190.66
761,Clothing,59,4073.08
762,Toys,52,955.98
763,Clothing,95,5211.03
764,Toys,63,2511.39
765,Toys,15,314.65
766,Books,32,877.26
767,Furniture,96,8595.18
768,Electronics,66,5769.19
769,Electronics,86,6255.53
770,Furniture,42,1330.47
771,Furniture,97,7012.96
772,Sports,45,4289.51
773,Sports,99,1546.96
774,Sports,82,4354.54
775,Furniture,70,2746.18
776,Sports,5,228.09
777,Books,74,7336.78
778,Electronics,38,532.9
779,Sports,18,796.28
780,Toys,43,1302.5
781,Furniture,47,4315.23
782,Clothing,4,382.66
783,Clothing,10,802.6
784,Toys,96,4949.06
785,Furniture,81,6643.62
786,Sports,76,1829.38
787,Electronics,60,5989.55
788,Books,85,7797.02
789,Sports,77,7608.39
790,Electronics,34,1266.99
791,Furniture,63,2248.99
792,Sports,48,2781.33
793,Electronics,91,2777.93
794,Toys,84,6773.26
795,Electronics,98,9646.36
796,Clothing,40,1733.7
797,Clothing,24,1957.2
798,Furniture,75,5827.42
799,Sports,23,797.81
800,Books,96,3619.04
801,Clothing,27,596.2
802,Books,95,6816.44
803,Books,75,3422.52
804,Clothing,11,170.82
805,Clothing,87,6181.01
806,Sports,53,1476.4
807,Books,46,3901.02
808,Clothing,51,2673.03
809,Toys,43,1252.73
810,Books,25,1299.25
811,Furniture,22,2196.5
812,Toys,91,1853.81
813,Sports,73,6488.32
814,Toys,42,4196.52
815,Furniture,39,582.29
816,Electronics,17,1497.17
817,Books,19,807.48
818,Clothing,11,984.96
819,Sports,99,2416.35
820,Electronics,61,2900.7
821,Toys,56,1115.77
822,Toys,51,3292.73
823,Furniture,57,3981.18
824,Furniture,55,2701.99
825,Furniture,74,1108.28
826,Books,11,745.69
827,Furniture,19,969.24
828,Books,34,2509.52
829,Furniture,82,4028.66
830,Clothing,96,6743.89
831,Sports,35,2029.08
832,Clothing,65,6256.4
833,Clothing,10,691.47
834,Clothing,67,2425.18
835,Books,11,167.46
836,Furniture,20,342.01
837,Electronics,76,7499.52
838,Toys,69,2461.4
839,Books,23,2206.38
840,Sports,3,47.5
841,Sports,95,1337.46
842,Electronics,10,914.4
843,Toys,22,495.57
844,Books,14,827.58
845,Books,6,325.94
846,Furniture,32,1436.43
847,Furniture,68,5075.29
848,Books,11,717.31
849,Toys,45,660.07
850,Toys,17,237.98
851,Sports,40,2305.86
852,Clothing,77,3665.24
853,Toys,36,1233.2
854,Toys,81,3480.94
855,Books,64,4688.68
856,Furniture,66,2045.65
857,Books,36,1275.69
858,Furniture,78,2727.0
859,Toys,35,1959.41
860,Toys,42,3462.8
861,Clothing,27,405.32
862,Clothing,83,6283.01
863,Sports,6,91.07
864,Clothing,56,3050.07
865,Sports,2,62.2
866,Toys,50,1901.39
867,Clothing,74,6177.13
868,Books,20,742.43
869,Electronics,35,3215.61
870,Books,64,1868.2
871,Sports,17,899.6
872,Toys,19,275.96
873,Toys,83,1008.59
874,Books,31,720.69
875,Furniture,77,5729.1
876,Books,43,1519.94
877,Electronics,92,6904.21
878,Books,63,1857.52
879,Toys,80,6548.55
880,Books,65,3102.46
881,Clothing,59,3661.08
882,Books,36,2021.64
883,Toys,51,4595.06
884,Books,97,9526.45
885,Toys,35,3213.9
886,Electronics,27,2517.2
887,Sports,60,4530.19
888,Clothing,84,8044.9
889,Furniture,40,1667.85
890,Sports,15,876.38
891,Clothing,21,1836.95
892,Electronics,62,5835.87
893,Furniture,56,5141.31
894,Sports,100,5267.82
895,Toys,18,1357.61
896,Furniture,44,2155.35
897,Clothing,99,8532.47
898,Toys,25,1866.5
899,Furniture,80,4723.73
900,Sports,78,7293.55
901,Clothing,68,5581.79
902,Electronics,78,4209.42
903,Furniture,67,1614.34
904,Toys,61,3374.02
905,Sports,78,6129.06
906,Books,88,4556.98
907,Clothing,55,3519.9
908,Furniture,36,1431.09
909,Toys,24,1050.13
910,Clothing,68,1213.19
911,Clothing,71,1382.52
912,Sports,67,3210.6
913,Sports,48,2735.65
914,Sports,64,2621.45
915,Toys,60,1176.5
916,Electronics,55,4683.1
917,Books,34,664.34
918,Toys,47,709.02
919,Books,23,2134.01
920,Furniture,18,1608.29
921,Furniture,1,36.67
922,Furniture,72,1377.78
923,Furniture,30,421.92
924,Electronics,79,6260.0
925,Toys,84,7021.38
926,Furniture,63,1341.14
927,Furniture,18,900.53
928,Electronics,7,274.44
929,Books,4,145.3
930,Toys,18,1666.32
931,Books,20,1206.64
932,Furniture,38,787.57
933,Toys,49,3314.29
934,Clothing,76,1441.1
935,Clothing,1,82.43
936,Books,98,8935.77
937,Toys,41,1937.4
938,Clothing,40,2477.35
939,Toys,64,6068.32
940,Furniture,25,508.33
941,Books,87,2131.48
942,Toys,33,534.56
943,Clothing,60,2285.62
944,Books,63,5832.01
945,Furniture,84,3588.5
946,Clothing,36,1119.26
947,Sports,41,817.2
948,Clothing,59,3369.78
949,Sports,9,646.56
950,Toys,5,383.87
951,Toys,22,2137.65
952,Toys,19,1294.17
953,Toys,42,3218.12
954,Books,20,1053.49
955,Books,69,1709.96
956,Clothing,62,2594.6
957,Clothing,39,2925.06
958,Clothing,34,901.25
959,Electronics,51,4619.54
960,Electronics,9,105.1
961,Sports,59,2264.93
962,Clothing,2,122.71
963,Clothing,70,2831.88
964,Books,89,6042.29
965,Books,47,1864.08
966,Electronics,6,423.56
967,Electronics,64,1670.19
968,Furniture,10,835.16
969,Electronics,71,6536.07
970,Toys,77,904.07
971,Books,90,2154.11
972,Electronics,36,2699.64
973,Clothing,70,1035.72
974,Furniture,6,491.4
975,Clothing,41,2697.69
976,Books,47,3288.26
977,Books,64,3914.29
978,Toys,55,5350.49
979,Furniture,21,302.77
980,Clothing,28,1800.12
981,Toys,65,3290.9
982,Books,88,4172.41
983,Furniture,13,1237.72
984,Toys,31,997.51
985,Toys,74,3505.4
986,Books,50,2761.25
987,Books,20,1319.3
988,Clothing,81,977.21
989,Sports,40,1667.37
990,Electronics,57,2355.75
991,Furniture,66,4706.93
992,Toys,32,1969.4
993,Furniture,96,4767.1
994,Books,27,430.66
995,Toys,46,3949.63
996,Furniture,23,1657.18
997,Books,54,1231.95
998,Toys,72,6901.64
999,Electronics,54,5189.52
1000,Clothing,52,2980.44
1001,Clothing,45,2990.79
1002,Electronics,40,1525.5
1003,Furniture,14,439.89
1004,Books,87,3579.83
1005,Books,25,593.22
1006,Electronics,48,1412.84
1007,Sports,78,7585.25
1008,Electronics,57,2898.17
1009,Furniture,14,1206.84
1010,Clothing,73,7226.26
1011,Electronics,81,1276.8
1012,Clothing,89,8371.52
1013,Toys,55,2702.25
1014,Furniture,69,4125.36
1015,Sports,52,1299.87
1016,Electronics,92,8116.5
1017,Toys,98,7537.59
1018,Sports,75,7270.24
1019,Toys,63,3183.39
1020,Clothing,50,4953.91
1021,Books,26,1437.32
1022,Toys,22,1643.15
1023,Furniture,39,3298.97
1024,Books,8,714.92
1025,Toys,8,757.72
1026,Sports,62,4372.82
1027,Clothing,34,989.36
1028,Toys,27,1804.96
1029,Sports,59,4169.81
1030,Clothing,54,4108.55
1031,Sports,3,128.68
1032,Electronics,58,4030.89
1033,Toys,70,3359.46
1034,Books,34,2670.73
1035,Furniture,87,2614.61
1036,Electronics,56,4296.74
1037,Furniture,23,1933.74
1038,Furniture,85,1257.14
1039,Furniture,30,1429.29
1040,Sports,5,80.25
1041,Electronics,56,4652.4
1042,Furniture,78,5137.59
1043,Furniture,7,518.87
1044,Books,93,5895.92
1045,Electronics,56,5191.15
1046,Furniture,64,5422.93
1047,Electronics,5,411.07
1048,Toys,12,644.68
1049,Books,70,6287.42
1050,Clothing,84,4839.53
1051,Clothing,10,552.58
1052,Furniture,66,5196.35
1053,Toys,28,1862.73
1054,Clothing,58,5008.16
1055,Sports,97,1539.41
1056,Books,79,4889.81
1057,Electronics,50,3247.3
1058,Furniture,98,9486.27
1059,Furniture,13,1094.57
1060,Sports,40,2051.84
1061,Furniture,69,5303.28
